Character Name,Actor
Aeron Greyjoy,Michael Feast
Alliser Thorne,Owen Teale
Alton Lannister,Karl Davies
Amory Lorch,Fintan McKeown
Anguy,Philip McGinley
Areo Hotah,Deobia Oparei
Armeca,Sahara Knite
Arya Stark,Maisie Williams
Balon Greyjoy,Patrick Malahide
Barristan Selmy,Ian McElhinney
Benjen Stark,Joseph Mawle
Beric Dondarrion,David Michael Scott
Biter,Gerard Jordan
Black Walder Rivers,Bryan McCaugherty
Bowen Marsh,Brian Fortune
Bran Stark,Isaac Hempstead Wright
Brienne of Tarth,Gwendoline Christie
Bronn,Jerome Flynn
Brother Ray,Ian McShane
Brynden 'Blackfish' Tully,Clive Russell
Catelyn Stark,Michelle Fairley
Cersei Lannister,Lena Headey
Craster,Robert Pugh
Daario Naharis,Ed Skrein
Daenerys Targaryen,Emilia Clarke
Dagmer Cleftjaw,Ralph Ineson
Daisy,Maisie Dee
Davos Seaworth,Liam Cunningham
Doran Martell,Alexander Siddig
Doreah,Roxanne McKee
Eddard 'Ned' Stark,Sean Bean
Eddison Tollett,Ben Crompton
Edmure Tully,Tobias Menzies
Ellaria Sand,Indira Varma
Euron Greyjoy,Pilou Asbæk
Gared,Dermot Keaney
Gendry,Joe Dempsie
Gilly,Hannah Murray
Grand Maester Pycelle,Julian Glover
Greatjon Umber,Clive Mantle
Gregor Clegane,Conan Stevens
Grenn,Mark Stanley
Grey Worm,Jacob Anderson
Hallyne,Roy Dotrice
High Priestess,Souad Faress
High Sparrow,Jonathan Pryce
Hizdahr zo Loraq,Joel Fry
Hodor,Kristian Nairn
Hot Pie,Ben Hawkey
Hugh of the Vale,Jefferson Hall
Illyrio Mopatis,Roger Allam
Ilyn Payne,Wilko Johnson
Irri,Amrita Acharia
Izembaro,Richard E. Grant
Jaime Lannister,Nikolaj Coster-Waldau
Janos Slynt,Dominic Carter
Jaqen H'ghar,Tom Wlaschiha
Jeor Mormont,James Cosmo
Joffrey Baratheon,Jack Gleeson
Jojen Reed,Thomas Brodie-Sangster
Jon Snow,Kit Harington
Jorah Mormont,Iain Glen
Jory Cassel,Jamie Sives
Joyeuse Erenford,Kelly Long
Karl Tanner,Burn Gorman
Karsi,Birgitte Hjort Sørensen
Kevan Lannister,Ian Gelder
Khal Drogo,Jason Momoa
Khal Moro,Joseph Naufahu
Kinvara,Ania Bukstein
Kovarro,Steven Cole
Kraznys mo Nakloz,Dan Hildebrand
Lady Crane,Essie Davis
Lancel Lannister,Eugene Simon
Leaf,Octavia Selena Alexandru
Lhara,Sarine Sofair
Loboda,Zachary Baharov
Locke,Noah Taylor
Lollys Stokeworth,Elizabeth Cadwallader
Lommy Greenhands,Eros Vlahos
Loras Tyrell,Finn Jones
Lord Varys,Conleth Hill
Lothar Frey,Tom Brooke
Lyanna Mormont,Bella Ramsey
Lysa Arryn,Kate Dickie
Mace Tyrell,Roger Ashton-Griffiths
Maester Aemon,Peter Vaughan
Maester Cressen,Oliver Ford Davies
Maester Luwin,Donald Sumpter
Malko,Adewale Akinnuoye-Agbaje
Mance Rayder,Ciarán Hinds
Marei,Josephine Gillan
Margaery Tyrell,Natalie Dormer
Marillion,Emun Elliott
Matthos Seaworth,Kerr Logan
Meera Reed,Ellie Kendrick
Melessa Tarly,Samantha Spiro
Melisandre,Carice van Houten
Mero,Mark Killeen
Meryn Trant,Ian Beattie
Mhaegen,Antonia Christophers
Mirri Maz Duur,Mia Soteriou
Missandei,Nathalie Emmanuel
Mord,Ciaran Bermingham
Mossador,Reece Noi
Myranda,Charlotte Hope
Myrcella Baratheon,Aimee Richardson
Nymeria Sand,Jessica Henwick
Obara Sand,Keisha Castle-Hughes
Oberyn Martell,Pedro Pascal
Old Nan,Margaret John
Olenna Tyrell,Diana Rigg
Olly,Brenock O'Connor
Olyvar,Will Tudor
Orell,Mackenzie Crook
Osha,Natalia Tena
Othell Yarwyck,Brian Fortune
Petyr 'Littlefinger' Baelish,Aidan Gillen
Podrick Payne,Daniel Portman
Polliver,Andy Kellegher
Pyat Pree,Ian Hanmore
Pypar,Josef Altin
Qhorin Halfhand,Simon Armstrong
Qotho,Dar Salim
Quaithe,Laura Pradelska
Qyburn,Anton Lesser
Rakharo,Elyes Gabel
Ramsay Bolton,Iwan Rheon
Randyll Tarly,James Faulkner
Rast,Luke Barnes
Rattleshirt,Edward Dogliani
Razdal mo Eraz,George Georgiou
Renly Baratheon,Gethin Anthony
Rickard Karstark,Steve Blount
Rickon Stark,Art Parkinson
Robb Stark,Richard Madden
Robert Baratheon,Mark Addy
Robett Glover,Tim McInnerny
Robin Arryn,Lino Facioli
Rodrik Cassel,Ron Donachie
Roose Bolton,Michael McElhatton
Rorge,Andy Beckwith
Ros,Esmé Bianco
Roslin Frey,Alexandra Dowling
Salladhor Saan,Lucian Msamati
Samwell Tarly,John Bradley
Sandor 'The Hound' Clegane,Rory McCann
Sansa Stark,Sophie Turner
Selyse Baratheon,Sarah MacKeever
Septa Mordane,Susan Brown
Septa Unella,Hannah Waddingham
Ser Dontos Hollard,Tony Way
Shae,Sibel Kekilli
Shagga,Mark Lewis Jones
Shireen Baratheon,Kerry Ingram
Smalljon Umber,Dean S. Jagger
Spice King,Nicholas Blane
Stannis Baratheon,Stephen Dillane
Styr,Yuri Kolokolnikov
Syrio Forel,Miltos Yerolemou
Talisa Maegyr,Oona Chaplin
Talla Tarly,Rebecca Benson
Ternesio Terys,Gary Oliver
The Night's King,Richard Brake
Theon Greyjoy,Alfie Allen
Thoros of Myr,Paul Kaye
Three-Eyed Raven,Struan Rodger
Tickler,Anthony Morris
Tobho Mott,Andrew Wilde
Tommen Baratheon,Callum Wharry
Tormund Giantsbane,Kristofer Hivju
Trystane Martell,Toby Sebastian
Tycho Nestoris,Mark Gatiss
Tyene Sand,Rosabell Laurenti Sellers
Tyrion Lannister,Peter Dinklage
Tywin Lannister,Charles Dance
Vala,Meena Rayann
Vardis Egen,Brendan McCormack
Viserys Targaryen,Harry Lloyd
Waif,Faye Marsay
Walda Bolton,Elizabeth Webster
Walder Frey,David Bradley
Waymar Royce,Rob Ostlere
Will,Bronson Webb
Wun Wun,Ian Whyte
Xaro Xhoan Daxos,Nonso Anozie
Yara Greyjoy,Gemma Whelan
Yezzan zo Qaggaz,Enzo Cilenti
Ygritte,Rose Leslie
Yohn Royce,Rupert Vansittart
Yoren,Francis Magee
