"Student
ID",CRN,COL,SUB,CRSE,SEC,TITLE,Exams.Assigned Num,"Exams.Exam
DoW"
1,36292,EG,ECE,1260,002,EGR Prog and Applic,EG52,4
43,36292,EG,ECE,1260,002,EGR Prog and Applic,EG52,4
75,36292,EG,ECE,1260,002,EGR Prog and Applic,EG52,4
102,36292,EG,ECE,1260,002,EGR Prog and Applic,EG52,4
1,36914,SC,MAT,2705,001,Diff Equation with Linear Alg,SC31,1
72,38406,SB,ACC,2310,003,Intermediate Accounting I,SB1,1
2,37134,NU,NUR,1104,003,Intro to Prof Nursing Practice,NU64,4
19,35565,SB,ACC,2320,001,Intermediate Accounting II,SB2,4
3,36976,EG,ME,3403,001,Solid Mechanics & Design II,EG62,1
23,36976,EG,ME,3403,001,Solid Mechanics & Design II,EG62,1
130,36976,EG,ME,3403,001,Solid Mechanics & Design II,EG62,1
4,37514,SC,SCI,5300,001,CAP:Readings in Epidemiology,SC32,2
5,37618,SC,STAT,1430,008,Business Statistics,SC35,4
53,37618,SC,STAT,1430,008,Business Statistics,SC35,4
13,35758,SC,BIO,2106,001,General Biology II,SC15,5
26,35758,SC,BIO,2106,001,General Biology II,SC15,5
46,35758,SC,BIO,2106,001,General Biology II,SC15,5
49,35758,SC,BIO,2106,001,General Biology II,SC15,5
50,35758,SC,BIO,2106,001,General Biology II,SC15,5
118,35758,SC,BIO,2106,001,General Biology II,SC15,5
6,36392,SB,ECO,1002,018,Intro to Macro,SB3,5
107,36392,SB,ECO,1002,018,Intro to Macro,SB3,5
108,36392,SB,ECO,1002,018,Intro to Macro,SB3,5
9,35759,SC,BIO,2106,002,General Biology II,SC15,5
20,35759,SC,BIO,2106,002,General Biology II,SC15,5
24,35759,SC,BIO,2106,002,General Biology II,SC15,5
57,35759,SC,BIO,2106,002,General Biology II,SC15,5
81,35759,SC,BIO,2106,002,General Biology II,SC15,5
120,35759,SC,BIO,2106,002,General Biology II,SC15,5
6,37805,SB,VSB,2004,001,Financial Accounting,SB9,2
129,37805,SB,VSB,2004,001,Financial Accounting,SB9,2
7,36387,SB,ECO,1002,013,Intro to Macro,SB3,5
76,36387,SB,ECO,1002,013,Intro to Macro,SB3,5
87,36387,SB,ECO,1002,013,Intro to Macro,SB3,5
7,37816,SB,VSB,2004,012,Financial Accounting,SB9,2
8,36235,SC,CSC,2405,001,Computer Systems II,SC20,2
126,36235,SC,CSC,2405,001,Computer Systems II,SC20,2
8,36244,SC,CSC,4480,002,Principles of Database Systems,SC22,3
17,36244,SC,CSC,4480,002,Principles of Database Systems,SC22,3
77,36244,SC,CSC,4480,002,Principles of Database Systems,SC22,3
100,36244,SC,CSC,4480,002,Principles of Database Systems,SC22,3
10,36393,SB,ECO,1002,H01,HON:Intro to Macro,SB3,5
66,35852,EG,CEE,3401,001,Structural Analysis,EG43,3
10,37612,SC,STAT,1430,002,Business Statistics,SC35,4
42,35853,EG,CEE,3401,002,Structural Analysis,EG43,3
74,35853,EG,CEE,3401,002,Structural Analysis,EG43,3
11,36382,SB,ECO,1002,008,Intro to Macro,SB3,5
48,36382,SB,ECO,1002,008,Intro to Macro,SB3,5
56,36382,SB,ECO,1002,008,Intro to Macro,SB3,5
66,35855,EG,CEE,3507,001,Hydraulic Egr & Hydrology,EG44,4
11,37615,SC,STAT,1430,005,Business Statistics,SC35,4
18,37615,SC,STAT,1430,005,Business Statistics,SC35,4
128,37615,SC,STAT,1430,005,Business Statistics,SC35,4
42,35856,EG,CEE,3507,002,Hydraulic Egr & Hydrology,EG44,4
71,35856,EG,CEE,3507,002,Hydraulic Egr & Hydrology,EG44,4
74,35856,EG,CEE,3507,002,Hydraulic Egr & Hydrology,EG44,4
12,37896,SB,VSB,4002,100,Strategic Think & Implem,SB14,4
74,35860,EG,CEE,3903,001,CE Materials,EG45,1
42,35861,EG,CEE,3903,002,CE Materials,EG45,1
13,36876,SC,MAT,1312,001,Biocalculus,SC23,3
118,36876,SC,MAT,1312,001,Biocalculus,SC23,3
132,36876,SC,MAT,1312,001,Biocalculus,SC23,3
66,35862,EG,CEE,3903,003,CE Materials,EG45,1
14,38173,EG,ECE,3476,001,Computer and Network Security,EG55,5
15,35917,EG,CHE,4202,002,Process Controls,EG51,2
16,35917,EG,CHE,4202,002,Process Controls,EG51,2
71,35872,EG,CEE,4801,001,Foundation Design,EG46,5
74,35872,EG,CEE,4801,001,Foundation Design,EG46,5
33,35873,EG,CEE,4801,002,Foundation Design,EG46,5
34,35873,EG,CEE,4801,002,Foundation Design,EG46,5
17,36236,SC,CSC,2405,002,Computer Systems II,SC20,2
21,35902,EG,CHE,1102,001,Material Balances,EG47,3
70,35902,EG,CHE,1102,001,Material Balances,EG47,3
94,35902,EG,CHE,1102,001,Material Balances,EG47,3
17,36904,SC,MAT,2400,002,Linear Algebra for Computing,SC28,4
52,36904,SC,MAT,2400,002,Linear Algebra for Computing,SC28,4
100,36904,SC,MAT,2400,002,Linear Algebra for Computing,SC28,4
126,36904,SC,MAT,2400,002,Linear Algebra for Computing,SC28,4
18,36390,SB,ECO,1002,016,Intro to Macro,SB3,5
63,36390,SB,ECO,1002,016,Intro to Macro,SB3,5
110,36390,SB,ECO,1002,016,Intro to Macro,SB3,5
101,35905,EG,CHE,2102,002,Thermodynamics 2,EG48,4
109,35905,EG,CHE,2102,002,Thermodynamics 2,EG48,4
101,35906,EG,CHE,2202,001,Heat Transfer,EG49,1
109,35906,EG,CHE,2202,001,Heat Transfer,EG49,1
20,36897,SC,MAT,1505,007,Calculus II,SC27,1
40,35911,EG,CHE,3301,002,ChE Applied Mathematics,EG50,5
28,35916,EG,CHE,4202,001,Process Controls,EG51,2
21,36899,SC,MAT,1505,009,Calculus II,SC27,1
85,36899,SC,MAT,1505,009,Calculus II,SC27,1
94,36899,SC,MAT,1505,009,Calculus II,SC27,1
127,36899,SC,MAT,1505,009,Calculus II,SC27,1
22,36379,SB,ECO,1002,005,Intro to Macro,SB3,5
82,36379,SB,ECO,1002,005,Intro to Macro,SB3,5
80,36217,SC,CSC,1051,001,Algorithms & Data Struc I,SC16,1
81,36217,SC,CSC,1051,001,Algorithms & Data Struc I,SC16,1
22,36886,SC,MAT,1500,003,Calculus I,SC26,4
58,36218,SC,CSC,1051,002,Algorithms & Data Struc I,SC16,1
22,37807,SB,VSB,2004,003,Financial Accounting,SB9,2
82,37807,SB,VSB,2004,003,Financial Accounting,SB9,2
38,36221,SC,CSC,1052,001,Algorithms & Data Struc II,SC17,3
52,36221,SC,CSC,1052,001,Algorithms & Data Struc II,SC17,3
93,36221,SC,CSC,1052,001,Algorithms & Data Struc II,SC17,3
96,36222,SC,CSC,1052,002,Algorithms & Data Struc II,SC17,3
38,36225,SC,CSC,1300,002,Discrete Structures,SC18,2
25,36913,SC,MAT,2600,004,Mathematical Reasoning & Proof,SC31,1
100,36232,SC,CSC,2053,001,Platform Based Computing,SC19,4
122,36232,SC,CSC,2053,001,Platform Based Computing,SC19,4
27,37617,SC,STAT,1430,007,Business Statistics,SC35,4
99,37617,SC,STAT,1430,007,Business Statistics,SC35,4
45,36233,SC,CSC,2053,002,Platform Based Computing,SC19,4
27,37820,SB,VSB,2004,H01,HON:Financial Accounting,SB9,2
54,37820,SB,VSB,2004,H01,HON:Financial Accounting,SB9,2
29,36918,SC,MAT,2705,005,Diff Equation with Linear Alg,SC31,1
75,36918,SC,MAT,2705,005,Diff Equation with Linear Alg,SC31,1
69,36241,SC,CSC,4181,001,Compiler Construction,SC21,2
104,36241,SC,CSC,4181,001,Compiler Construction,SC21,2
106,36241,SC,CSC,4181,001,Compiler Construction,SC21,2
121,36241,SC,CSC,4181,001,Compiler Construction,SC21,2
30,36381,SB,ECO,1002,007,Intro to Macro,SB3,5
39,36242,SC,CSC,4181,002,Compiler Construction,SC21,2
103,36242,SC,CSC,4181,002,Compiler Construction,SC21,2
30,37810,SB,VSB,2004,006,Financial Accounting,SB9,2
67,37810,SB,VSB,2004,006,Financial Accounting,SB9,2
39,36243,SC,CSC,4480,001,Principles of Database Systems,SC22,3
122,36243,SC,CSC,4480,001,Principles of Database Systems,SC22,3
30,37836,SB,VSB,2007,006,Corp Respon & Regulation,SB10,1
64,37836,SB,VSB,2007,006,Corp Respon & Regulation,SB10,1
31,36405,SB,ECO,3108,001,Global Political Econ,SB4,5
73,36291,EG,ECE,1260,001,EGR Prog and Applic,EG52,4
32,36917,SC,MAT,2705,004,Diff Equation with Linear Alg,SC31,1
35,36380,SB,ECO,1002,006,Intro to Macro,SB3,5
35,36892,SC,MAT,1505,002,Calculus II,SC27,1
43,36892,SC,MAT,1505,002,Calculus II,SC27,1
95,36892,SC,MAT,1505,002,Calculus II,SC27,1
35,37809,SB,VSB,2004,005,Financial Accounting,SB9,2
36,37894,SB,VSB,4002,007,Strategic Think & Implem,SB14,4
37,37133,NU,NUR,1104,002,Intro to Prof Nursing Practice,NU64,4
88,36391,SB,ECO,1002,017,Intro to Macro,SB3,5
98,36377,SB,ECO,1002,003,Intro to Macro,SB3,5
125,36377,SB,ECO,1002,003,Intro to Macro,SB3,5
53,36378,SB,ECO,1002,004,Intro to Macro,SB3,5
128,36378,SB,ECO,1002,004,Intro to Macro,SB3,5
41,36907,SC,MAT,2500,003,Calculus III,SC29,5
91,36907,SC,MAT,2500,003,Calculus III,SC29,5
111,36375,SB,ECO,1002,001,Intro to Macro,SB3,5
44,37135,NU,NUR,1104,004,Intro to Prof Nursing Practice,NU64,4
44,37135,NU,NUR,1104,004,Intro to Prof Nursing Practice,NU64,4
47,37808,SB,VSB,2004,004,Financial Accounting,SB9,2
128,37808,SB,VSB,2004,004,Financial Accounting,SB9,2
114,36384,SB,ECO,1002,010,Intro to Macro,SB3,5
129,36384,SB,ECO,1002,010,Intro to Macro,SB3,5
54,36385,SB,ECO,1002,011,Intro to Macro,SB3,5
92,36385,SB,ECO,1002,011,Intro to Macro,SB3,5
51,36959,EG,ME,2101,003,Dynamic Systems I,EG57,3
51,36960,EG,ME,2103,001,Mechanics of Materials,EG58,4
51,36968,EG,ME,3100,002,Thermodynamics,EG59,2
90,36407,SB,ECO,3108,003,Global Political Econ,SB4,5
79,36613,SB,FIN,2114,004,Intermediate Corp Finance,SB5,2
90,36614,SB,FIN,2114,005,Intermediate Corp Finance,SB5,2
119,36614,SB,FIN,2114,005,Intermediate Corp Finance,SB5,2
53,36896,SC,MAT,1505,006,Calculus II,SC27,1
56,36896,SC,MAT,1505,006,Calculus II,SC27,1
115,36896,SC,MAT,1505,006,Calculus II,SC27,1
131,36617,SB,FIN,2227,002,Fixed Inc Markets & Valuation,SB6,4
53,37806,SB,VSB,2004,002,Financial Accounting,SB9,2
83,37806,SB,VSB,2004,002,Financial Accounting,SB9,2
98,37806,SB,VSB,2004,002,Financial Accounting,SB9,2
117,36618,SB,FIN,2227,003,Fixed Inc Markets & Valuation,SB6,4
54,36900,SC,MAT,1505,010,Calculus II,SC27,1
79,36626,SB,FIN,2323,004,Equity Markets and Valuation,SB7,2
55,37607,SC,STAT,1250,001,Stats in Health Care Research,SC33,1
63,37607,SC,STAT,1250,001,Stats in Health Care Research,SC33,1
65,36627,SB,FIN,2323,005,Equity Markets and Valuation,SB7,2
119,36627,SB,FIN,2323,005,Equity Markets and Valuation,SB7,2
56,37815,SB,VSB,2004,011,Financial Accounting,SB9,2
80,36878,SC,MAT,1314,001,Modeling for the Life Sciences,SC24,2
116,36879,SC,MAT,1314,002,Modeling for the Life Sciences,SC24,2
114,36880,SC,MAT,1320,001,Calculus I for Liberal Arts,SC25,3
59,37847,SB,VSB,2008,008,Business Analytics,SB11,5
59,37862,SB,VSB,2004,14,Principles of Managerial Acct,SB13,3
88,36882,SC,MAT,1320,003,Calculus I for Liberal Arts,SC25,3
60,36958,EG,ME,2101,002,Dynamic Systems I,EG57,3
82,36885,SC,MAT,1500,002,Calculus I,SC26,4
129,36885,SC,MAT,1500,002,Calculus I,SC26,4
60,36961,EG,ME,2103,002,Mechanics of Materials,EG58,4
124,36961,EG,ME,2103,002,Mechanics of Materials,EG58,4
61,36915,SC,MAT,2705,002,Diff Equation with Linear Alg,SC31,1
124,36915,SC,MAT,2705,002,Diff Equation with Linear Alg,SC31,1
62,36902,SC,MAT,1505,101,Calculus II,SC27,1
89,36902,SC,MAT,1505,101,Calculus II,SC27,1
70,36894,SC,MAT,1505,004,Calculus II,SC27,1
84,36894,SC,MAT,1505,004,Calculus II,SC27,1
62,36956,EG,ME,1205,003,Computer Program for Mech Engr,EG56,2
127,36956,EG,ME,1205,003,Computer Program for Mech Engr,EG56,2
65,37629,SC,STAT,4315,003,Applied Statistical Models,SC36,1
73,36893,SC,MAT,1505,003,Calculus II,SC27,1
77,36903,SC,MAT,2400,001,Linear Algebra for Computing,SC28,4
105,36903,SC,MAT,2400,001,Linear Algebra for Computing,SC28,4
68,36908,SC,MAT,2500,004,Calculus III,SC29,5
76,37622,SC,STAT,1430,012,Business Statistics,SC35,4
76,37811,SB,VSB,2004,007,Financial Accounting,SB9,2
99,37811,SB,VSB,2004,007,Financial Accounting,SB9,2
124,36969,EG,ME,3100,003,Thermodynamics,EG59,2
113,36971,EG,ME,3300,001,Materials Science I,EG60,4
130,36971,EG,ME,3300,001,Materials Science I,EG60,4
78,37132,NU,NUR,1104,001,Intro to Prof Nursing Practice,NU64,4
130,36973,EG,ME,3333,001,Manufacturing Engineering,EG61,5
113,36975,EG,ME,3333,003,Manufacturing Engineering,EG61,5
112,37038,SB,MIS,3060,001,Bus Intelligence and Perf Mgmt,SB8,1
86,37895,SB,VSB,4002,008,Strategic Think & Implem,SB14,4
87,37616,SC,STAT,1430,006,Business Statistics,SC35,4
123,37137,NU,NUR,1104,H02,HON:Intro Prof Nsg Practice,NU64,4
95,37610,SC,STAT,1313,002,Statistics for Life Sciences,SC34,2
120,37610,SC,STAT,1313,002,Statistics for Life Sciences,SC34,2
97,37619,SC,STAT,1430,009,Business Statistics,SC35,4
131,37627,SC,STAT,4315,001,Applied Statistical Models,SC36,1
110,37818,SB,VSB,2004,014,Financial Accounting,SB9,2
133,37856,SB,VSB,2014,002,Principles of Managerial Acct,SB13,3
134,35564,SB,ACC,2310,002,Intermediate Accounting I,SB1,1
135,36387,SB,ECO,1002,013,Intro to Macro,SB3,5
135,37615,SC,STAT,1430,005,Business Statistics,SC35,4
135,37819,SB,VSB,2004,015,Financial Accounting,SB9,2
136,37618,SC,STAT,1430,008,Business Statistics,SC35,4
136,37814,SB,VSB,2004,010,Financial Accounting,SB9,2
137,37636,SC,STAT,5700,001,Probability,SC39,5
138,36385,SB,ECO,1002,011,Intro to Macro,SB3,5
138,37621,SC,STAT,1430,011,Business Statistics,SC35,4
138,37805,SB,VSB,2004,001,Financial Accounting,SB9,2
139,37862,SB,VSB,2004,14,Principles of Managerial Acct,SB13,3
139,38406,SB,ACC,2310,003,Intermediate Accounting I,SB1,1
140,37847,SB,VSB,2008,008,Business Analytics,SB11,5
140,37850,SB,VSB,2009,002,Principles of Finance,SB12,2
140,37863,SB,VSB,2004,15,Principles of Managerial Acct,SB13,3
141,37862,SB,VSB,2004,14,Principles of Managerial Acct,SB13,3
142,35852,EG,CEE,3401,001,Structural Analysis,EG43,3
