PERMCO,GVKEY,companyid
15959,66425,3
9141,16777,28
50731,152049,31
16290,18329,40
16367,117034,47
10905,24157,50
9232,16778,54
8674,4690,59
29505,18241,71
41388,26071,72
37718,136265,73
15971,66455,79
41460,21593,81
29476,25157,83
12289,28620,84
39162,139342,98
14587,62755,99
9341,16824,103
6736,17195,112
12525,29101,113
11371,18276,114
6545,16836,117
9664,16838,119
9216,13397,124
37513,135986,125
6246,16843,129
30423,30384,130
14940,63551,143
5908,11896,151
12412,28866,152
16649,111940,186
7860,16853,195
8879,18307,197
6281,15199,222
1856,4737,233
20723,4740,238
11691,18358,239
8064,14830,254
16264,113498,258
6934,10553,275
1741,4640,324
31636,62922,338
10817,21542,391
15314,64334,401
10133,15359,418
11309,24888,419
20017,1078,428
13092,30222,430
26102,15533,443
22200,63643,446
16195,112178,472
20018,13619,481
16599,121553,485
876,5569,490
5580,1082,530
10924,24005,531
14801,61004,553
29848,28323,556
15158,21118,569
16479,119753,602
11825,25961,613
14898,63470,614
17164,124374,653
370,1104,656
12321,28678,692
12395,28822,708
18434,230796,712
12499,180405,725
323,1706,729
16214,112624,730
42401,146017,733
6702,2536,736
59,1121,751
11029,24428,775
14238,61726,786
31890,64302,803
8476,12540,808
40976,133724,811
17523,124934,824
13252,30576,829
14143,61562,864
211,1161,881
3744,8872,884
10833,23616,889
15916,19398,919
14129,61557,923
42385,145042,929
8561,13025,930
30396,30175,931
15658,65286,951
34622,66301,965
336,1056,967
376,1173,973
17213,125315,986
41384,114608,998
13331,30697,1001
32136,65886,1002
14700,62990,1011
92,1449,1017
41358,141845,1050
16864,123094,1059
36364,126554,1060
26174,1186,1072
30378,30067,1080
13713,28169,1097
9462,13789,1169
20030,1209,1173
6977,1210,1174
20033,12950,1185
14680,62957,1190
13181,30399,1202
17300,125595,1221
14632,62874,1233
13443,31062,1246
12025,27960,1259
5348,1228,1262
20035,1230,1273
9550,14084,1283
16397,118081,1285
8127,1239,1294
20038,1240,1295
20039,1243,1304
20060,28192,1319
12181,28388,1335
157,1254,1349
20041,1257,1351
31965,64821,1354
14394,62263,1355
1682,16629,1357
153,1266,1383
41154,141384,1384
20043,1274,1413
20045,1279,1415
21722,10405,1416
22092,15708,1426
21206,7437,1431
41671,143974,1451
40978,141236,1452
16380,17908,1453
297,12075,1455
11188,13657,1457
16779,122915,1467
12627,29323,1469
4980,11554,1476
12586,116004,1498
11282,24837,1503
11108,22140,1516
22169,1308,1519
30958,61408,1520
16529,120513,1528
16666,181104,1532
29870,28349,1534
20057,1318,1537
12037,27980,1539
8780,13800,1558
12543,29129,1572
20058,1327,1573
37130,62072,1578
20007,1034,1595
9735,14324,1636
17176,124355,1649
15473,64768,1703
32135,29984,1710
9425,14182,1732
13913,61122,1734
13269,30612,1742
15905,21136,1764
15674,65345,1774
8042,12065,1779
16054,109580,1796
