permco,gvkey,boardid,company,ticker,ggroup,gsector,sic,state
20000,1004,394,AAR CORP,AIR,2010,20,5080,IL
421,1906,3184,A V HOMES INC,AVHI.1,2520,25,1531,AZ
20017,1078,428,ABBOTT LABORATORIES,ABT,3510,35,3845,IL
20068,1410,491,ABM INDUSTRIES INC,ABM,2020,20,7340,NY
20010,1045,2107,AMERICAN AIRLINES GROUP INC,AAL,2030,20,4512,TX
20010,1045,1748237,AMERICAN AIRLINES GROUP INC,AAL,2030,20,4512,TX
20010,1045,2021732,AMERICAN AIRLINES GROUP INC,AAL,2030,20,4512,TX
176,1050,6149,CECO ENVIRONMENTAL CORP,CECO,2020,20,3564,TX
20015,1062,550880,ASA GOLD AND PRECIOUS METALS,ASA,4020,40,6799,ME
37,1094,631,ACETO CORP,ACETQ,3510,35,5160,NY
25544,1072,3262,AVX CORP,AVX,4520,45,3670,SC
30930,1072,3262,AVX CORP,AVX,4520,45,3670,SC
21409,1075,24493,PINNACLE WEST CAPITAL CORP,PNW,5510,55,4911,AZ
5674,1076,398,PROG HOLDINGS INC,PRG,4020,40,6141,UT
370,1104,656,ACME UNITED CORP,ACU,2020,20,3420,CT
59,1121,751,ADAMS RESOURCES & ENERGY INC,AE,1010,10,5172,TX
10992,3905,9109,ADTALEM GLOBAL EDUCATION INC,ATGE,2530,25,8200,IL
65,1117,26018,BK TECHNOLOGIES CORP,BKTI,4520,45,3663,FL
211,1161,881,ADVANCED MICRO DEVICES,AMD,4530,45,3674,CA
326,1718,887,ADVANCED OXYGEN TECHNOLOGY,AOXY,6010,60,6512,VT
2366,5978,16156,AEGION CORP,AEGN,2010,20,1623,MO
20786,5018,13020,AEROJET ROCKETDYNE HOLDINGS,AJRD,2010,20,3760,CA
20026,1177,989,AETNA INC,AET,3510,35,6324,CT
41072,1177,989,AETNA INC,AET,3510,35,6324,CT
92,1449,1017,AFLAC INC,AFL,4030,40,6321,GA
26174,1186,1072,AGNICO EAGLE MINES LTD,AEM,1510,15,1040,ON
20030,1209,1173,AIR PRODUCTS & CHEMICALS INC,APD,1510,15,2810,PA
6977,1210,1174,AIR T INC,AIRT,2030,20,4513,NC
20035,1230,1273,ALASKA AIR GROUP INC,ALK,2030,20,4512,WA
20041,1257,1351,ALEXANDER'S INC,ALX,6010,60,6798,NJ
153,1266,1383,ALICO INC,ALCO,3020,30,100,FL
392,1234,2975,ATRION CORP,ATRI,3510,35,3841,TX
20043,1274,1413,ALLEGHANY CORP,Y,4030,40,6331,NY
22775,1274,1413,ALLEGHANY CORP,Y,4030,40,6331,NY
157,1254,1349,MATSON INC,MATX,2030,20,4400,HI
157,1254,1830202,MATSON INC,MATX,2030,20,4400,HI
2088,5520,645861,ALLIENT INC,ALNT,2010,20,3621,NY
53687,5072,13003,ALLY FINANCIAL INC,ALLY,4020,40,6172,MI
22168,1300,15029,HONEYWELL INTERNATIONAL INC,HON,2010,20,9997,NC
20058,1327,1573,SKYWORKS SOLUTIONS INC,SWKS,4530,45,3674,CA
20066,1397,1763,AMERICAN BILTRITE INC,ABLT,1510,15,2670,MA
20066,1397,1795803,AMERICAN BILTRITE INC,ABLT,1510,15,2670,MA
