CRSP_PERMCO,Compustat_GVKEY,BoardEx_boardID,TICKER,RP_entityID
7953,012994,10675,38G,NaN
53808,186683,1705855,3FI,NaN
11210,020245,4365,3O6,NaN
21575,009459,27219,6MK,1EBF8D
21188,007257,27219,6MK,1EBF8D
5220,003310,7569,9C7,NaN
55718,027638,2539638,AA,7F370A
57893,037780,3339374,AAC.U,2626F4
44876,157058,576761,AACC,NaN
11825,025961,613,AACE,NaN
55038,178698,2154412,AACH,NaN
59540,042339,3637239,AACT,NaN
56397,039527,2831760,AADI,EAD63F
9158,014638,24052,AAIIQ,F163A7
5,016671,2917,AAME,D3AEE4
14811,017208,475,AANB,NaN
54548,018564,1988113,AAOI,48F795
10817,021542,391,AAON,A94637
42402,145977,95856,AAP,F39E1E
55221,023175,2240862,AAPCF,NaN
7,001690,2355,AAPL,D8442A
58014,038211,3367716,AAQC.U,39F417
20033,012950,1185,AAS,NaN
53645,185549,1681904,AAT,9C9C0D
47201,163679,550608,AATI,NaN
50012,027265,571929,AAV,CD2FAC
13927,061155,2949,AAWW,1B4F31
20194,011923,2138,AAZ,NaN
20048,014592,566638,AB,CB138D
11309,024888,419,ABAX,NaN
54287,016101,1921326,ABBV,665D7D
13092,030222,430,ABCB,8B2C4A
53309,176939,1611856,ABCD,NaN
57611,037527,3312090,ABCL,239140
42385,145042,929,ABCO,NaN
11619,025570,2159000,ABCW,NaN
36949,012713,2179515,ABEO,24A89A
887,012713,2179515,ABEO,24A89A
42915,144640,2696,ABG,492117
57902,037962,3349751,ABGI,7F40F5
16195,112178,472,ABGX,NaN
52822,178855,813531,ABII,NaN
10133,015359,418,ABIX,NaN
57170,036775,3238698,ABL,20B460
16599,121553,485,ABLE,NaN
20066,001397,1763,ABLT,ABB264
20068,001410,491,ABM,9BF177
15905,021136,1764,ABMC,F74F8C
24,001402,1764,ABMC,F74F8C
20018,013619,481,ABMD,D65A13
57588,037460,3311317,ABNB,09E31A
15289,064301,28698,ABNK,907A91
58544,038986,3416250,ABOS,0FB10A
10968,024113,23727,ABP,NaN
47874,162956,666580,ABPI,NaN
20038,001240,1295,ABS,8.65E+10
58507,039175,3425645,ABSI,C90FE4
57420,133364,1023652,ABST,970927
20017,001078,428,ABT,520632
55451,026270,2354605,ABTX,9EED50
53584,062475,1064121,ABUS,D5E3FF
42534,146354,645780,ABVA,NaN
58640,039801,3431836,ABVC,68C264
53144,065706,1383238,ABVT,NaN
15781,065706,1383238,ABVT,NaN
20065,002055,3618,ABX,FFCC2A
56541,328795,2938449,ACA,0E64D4
59114,040363,3497128,ACAB,HX570Q
59114,040363,3497128,ACABU,HX570Q
59308,041130,3538689,ACAC,NaN
59308,041130,3538689,ACACU,NaN
45190,141846,105052,ACAD,6248C7
56639,034615,3000660,ACAMU,5E6D22
41053,141497,1900,ACAP,NaN
15674,065345,1774,ACAS,NaN
10652,022461,2502,ACAT,NaN
56545,022449,1072256,ACB,2FB440
37912,119813,805171,ACBA,6C8B04
55423,179048,2358351,ACBI,A02FB1
57136,036263,3208656,ACCD,317EC6
14188,061656,24320,ACCL,NaN
47179,164506,665743,ACCO,A87CD6
59014,038672,3473643,ACDI.U,NaN
16479,119753,602,ACDO,NaN
14898,063470,614,ACEC,NaN
51208,032459,834644,ACER,DC2C94
56239,036987,2767882,ACET,7532EC
37,001094,631,ACETQ,C87F45
57163,036716,3240687,ACEVU,NaN
10372,017197,2021,ACF,NaN
45707,266216,661091,ACFC,NaN
11335,024912,1063724,ACFN,EECB21
13971,061302,2486,ACGL,61BCA7
53929,192255,1731564,ACHC,FC1A6E
51300,174136,480186,ACHN,NaN
57377,040092,3290414,ACHR,NaN
14043,032271,28592,ACHV,39D8D0
55562,026722,2456520,ACIA,NaN
54284,178823,1914267,ACIC,B79152
57852,037698,3344285,ACII.U,E3236A
13587,031564,31129,ACIW,EF25A5
23442,162897,642024,ACLI,NaN
37913,137602,3286,ACLS,03B431
59163,040610,3505046,ACLX,33CD26
52247,147988,114467,ACM,03596A
17164,124374,653,ACME,FF1DC2
41871,143357,573,ACN,91B8B1
53624,017173,1681946,ACNB,0B2071
21696,010236,29789,ACNT,NaN
9425,014182,1732,ACO,NaN
53278,183352,1602890,ACOM,NaN
59255,040660,3526981,ACON,VEWMF5
34671,066688,2277,ACPIQ,NaN
58072,038097,3362075,ACQR,39C19E
58072,038097,3362075,ACQRU,39C19E
54035,189516,1815524,ACRE,2DDB22
55452,025904,2351879,ACRS,3A5113
59436,041684,3582209,ACRV,NaN
13331,030697,1001,ACS,D963CB
54710,019545,2035560,ACSF,8FFABD
16702,122536,16388,ACTA,NaN
14801,061004,553,ACTG,8.79E+06
18434,230796,712,ACTI,NaN
12321,028678,692,ACTL,BAB86D
53747,160281,1703704,ACTV,NaN
370,001104,656,ACU,CC321D
8028,011929,622034,ACUR,F8C01E
44490,145160,249492,ACUS,AB7F2D
8127,001239,1294,ACV,NaN
8127,001239,1294,ACV.A,NaN
58007,038374,3372427,ACVA,0D0C71
46538,145979,1678293,ACW,NaN
58427,038910,3412624,ACXP,37D799
8561,013025,930,AD,127021
58820,039807,3469511,ADAL,IHIOMS
58820,039807,3469511,ADALU,IHIOMS
14114,061523,423185,ADAM,NaN
