CUSIP,CRSP_PERMCO,TICKER,Compustat_GVKEY,BoardEx_boardID,RP_entityID
G5352N10,59225,LBBB,040689,3515292,
21833P30,55227,CRBP,022035,2237217,
38216X10,57441,GWAC,039538,3285686,
88080T10,18404,WULF,040413,6764,
72703U10,53203,PLAG,160196,1567805,
56578810,54961,MARA,004384,2128711,
74179A10,56029,BPRN,027345,3021208,
52466010,2636,LEGG,006649,18648,
46284P10,14330,IMTN,062374,17012,
08771Y30,58331,BTTR,184548,3415617,
91838520,55371,VTVT,024515,2314168,
M9688310,54979,VBLT,021209,2129758,
31808510,56945,FSRV,038978,3102380,
45719110,13036,INHL,030137,16049,
G7608810,57971,RMGC,037697,3341873,
05589T10,21973,DMF,014969,9628,
78354910,21541,RDR,009299,26741,
50216010,21072,LSB,006528,19216,
85223410,55474,SQ,026367,2364234,
G1892010,56040,CIC,035490,2691304,
50533610,2615,LAZB,006543,18544,
40636Q10,11011,HWDH,005559,29212,
91202320,4246,UXG,009728,1670206,
76115210,13753,RESM,031887,26113,
64204510,59502,AESI,041981,3622388,
18270D10,58999,CMTG,039861,3472017,
28618M10,54703,ESI,315318,2005381,
00090Q10,56212,ADT,032930,2763913,
40472A10,59213,HNRA,037955,3507660,
84857L10,21080,SR,006547,18343,
65345B20,59401,NXL,040536,3566770,
98974T20,16113,ZMAX,062057,33473,
18505340,59438,CMND,349994,2817193,
88490380,28754,TRI,015704,30658,
31773D20,58098,FNCH,038389,3368941,
67443420,13783,OBLG,036003,1742856,
36165A10,20793,JOB,005050,12989,
28252B88,59357,EFSH,022362,3554005,
23327810,57538,DMYI,039800,3298486,
50043K40,59698,KGEI,180401,1235246,
92535P87,57792,VS,140172,956878,
G7552910,58353,RONI,038336,3407587,
90291W10,59554,USGO,042848,3637267,
89147L88,44916,TYG,260852,732913,
19241Q10,52838,COGT,183799,1601752,
05493710,4163,BBT,011856,3718,
00534A10,58622,IVVD,039266,3433257,
03969T10,54405,ARCT,032715,1953649,
51475910,12577,LAND,029206,12366,
37427510,59329,GETY,036758,3242278,
30223410,1610,EXTH,004485,8822,
42224H10,46994,HAQ,031249,620488,
02916910,20097,ACP,013709,1912,
90138Q10,57415,ME,038717,3275875,
21976U10,53958,CNDO,196269,1743836,
07917410,59486,BLAC,041238,3613575,
37518G10,57939,GIG,037966,3343565,
67022R10,59227,NUBI,040279,3516139,
64110D10,14152,NTAP,061591,21903,
34417L10,58851,FIAC,039262,3469523,
38376A10,53166,GOV,182701,1557232,
78506010,12038,SYBA,022717,29752,
29415J10,56373,NVNO,032396,2823436,
74039M30,55398,POAI,183860,2327876,
25614T10,7922,DMC,018290,22003,
35805410,58697,FRSH,039539,3453112,
05600U10,57075,BMRG,037392,3195091,
74971D10,21995,RPT,015111,25730,
74320510,13852,PROG,061028,25191,
74437510,8909,PCMC,013733,25363,
74907L30,55612,QNRX,351038,2292336,
14054R50,54552,CPTA,018779,1988103,
78473010,14867,SSRM,026768,28009,
19200310,58446,TBIO,038923,3408981,
95758L10,59146,WAVS,039355,3496602,
42328H10,15267,HLIO,064254,29520,
28202V10,57761,EFTR,039510,3325516,
00128230,52924,AHC,179288,563461,
67080N10,57154,NUVB,038076,3208282,
87304840,59133,IDAI,345764,3311547,
69607730,12516,PLTN,029086,23670,
92766K10,56082,SPCE,035808,2706117,
14179K10,59712,CRGX,043555,3596970,
23325310,57012,DMYT,037623,3169542,
96145W10,59360,WEST,038621,3433315,
62955J10,31769,NOV,063892,21553,
05581M40,58713,BTCS,019767,3448640,
74933X30,56509,RMED,033824,2921268,
87256C10,17205,TKO,125240,33722,
11679510,38406,BDAL,138483,5218,
26916J10,57358,GWH,039875,3268834,
G0411D10,59510,APLM,039693,3460912,
07734720,6653,BELFA,002124,3946,
