PERMCO,GVKEY,BOARD ID,Company,Ticker
56873,35640,3080803,10X GENOMICS INC,TXG
5860,139201,14353,180 DEGREE CPTL CORP,TURN
55990,37350,2665494,180 LIFE SCIENCES CORP,ATNF
16695,122519,6,1-800-FLOWERS.COM,FLWS
59357,22362,3554005,1847 HOLDINGS LLC,EFSH
56626,34618,2976832,1895 BANCORP OF WISCONSN INC,BCOW
56993,36025,3155086,1LIFE HEALTHCARE INC,ONEM
42541,65467,78,1ST CONSTITUTION BANCORP,FCCY
6281,15199,222,1ST SOURCE CORP,SRCE
58439,38824,3404627,1STDIBS.COM INC,DIBS
54774,17185,2052907,22ND CENTURY GROUP INC,XXII
57415,38717,3275875,23ANDME HOLDING CO,ME
58896,39907,3472329,2SEVENTY BIO INC,TSVT
54796,19881,2057807,2U INC,TWOU
9775,15453,13538,37 CAPITAL INC,HHHEF
14456,62819,32982,374WATER INC,SCWO
14456,62819,3539609,374WATER INC,SCWO
26127,14898,276,3D SYSTEMS CORP,DDD
21205,7435,20777,3M CO,MMM
57626,35729,3312119,4D MOLECULAR THER INC,FDMT
59222,324960,2685971,5E ADVANCED MATERIALS INC,FEAM
56944,35776,3107241,89BIO INC,ETNB
55301,23287,2298018,8POINT3 ENERGY PARTNERS LP,CAFD
15567,65021,335,8X8 INC,EGHT
55621,33048,2520984,9 METERS BIOPHARMA INC,NMTRQ
57638,37480,3315825,908 DEVICES INC,MASS
421,1906,3184,A V HOMES INC,AVHI.1
58753,39500,3452695,A.K.A. BRAND HOLD CORP,AKA
54756,19849,2056222,A10 NETWORKS INC,ATEN
55038,178698,2154412,AAC HOLDINGS INC,AACH
56397,39527,2831760,AADI BIOSCIENCE INC,AADI
10817,21542,391,AAON INC,AAON
20000,1004,394,AAR CORP,AIR
57533,37445,3305772,AARONS CO INC (THE),AAN
57170,36775,3238698,ABACUS LIFE INC,ABL
11309,24888,419,ABAXIS INC,ABAX
20017,1078,428,ABBOTT LABORATORIES,ABT
54287,16101,1921326,ABBVIE INC,ABBV
57611,37527,3312090,ABCELLERA BIOLOGICS INC,ABCL
887,12713,584,ABEONA THERAPEUTICS INC,ABEO
887,12713,2179515,ABEONA THERAPEUTICS INC,ABEO
36949,12713,584,ABEONA THERAPEUTICS INC,ABEO
36949,12713,2179515,ABEONA THERAPEUTICS INC,ABEO
22200,63643,446,ABERCROMBIE & FITCH  -CL A,ANF
20018,13619,481,ABIOMED INC,ABMD
20068,1410,491,ABM INDUSTRIES INC,ABM
10924,24005,531,ABRAXAS PETROLEUM CORP/NV,AXAS
58507,39175,3425645,ABSCI CORP,ABSI
58640,39801,3431836,ABVC BIOPHARMA INC,ABVC
55562,26722,2456520,ACACIA COMMUNICATIONS INC,ACIA
14288,61940,2307805,ACACIA DIVERSIFIED HLDGS INC,ACCA
14801,61004,553,ACACIA RESEARCH CORP,ACTG
57424,37054,3275917,ACADEMY SPO AND OU INC,ASO
53929,192255,1731564,ACADIA HEALTHCARE CO INC,ACHC
45190,141846,105052,ACADIA PHARMACEUTICALS INC,ACAD
29848,28323,556,ACADIA REALTY TRUST,AKR
56639,34615,3000660,ACAMAR PARTNERS ACQUISITION,ACAM
55976,36550,2673390,ACCEL ENTERTAINMENT INC,ACEL
15158,21118,569,ACCELERATE DIAGNOSTICS INC,AXDX
54568,18510,1985116,ACCELERON PHARMA INC,XLRN
41871,143357,573,ACCENTURE PLC,ACN
45415,160891,796932,ACCESS NATIONAL CORP,ANCX
47179,164506,665743,ACCO BRANDS CORP,ACCO
57136,36263,3208656,ACCOLADE INC,ACCD
51803,176670,421736,ACCURAY INC,ARAY
28104,14999,1161,ACE AVIATION HOLDINGS INC,ACAVF
53673,185908,1687678,ACELRX PHARMACEUTICALS INC,ACRX
51208,32459,834644,ACER THERAPEUTICS INC,ACER
14310,61899,15273,ACERAGEN INC,ACGN
37,1094,631,ACETO CORP,ACETQ
54778,19718,2053236,ACHAOGEN INC,AKAOQ
14043,32271,28592,ACHIEVE LIFE SCIENCES INC,ACHV
51300,174136,480186,ACHILLION PHARMACEUTICALS,ACHN.1
13587,31564,31129,ACI WORLDWIDE INC,ACIW
59255,40660,3526981,ACLARION INC,ACON
55452,25904,2351879,ACLARIS THERAPEUTICS INC,ACRS
56128,32638,2723462,ACM RESEARCH INC,ACMR
370,1104,656,ACME UNITED CORP,ACU
53624,17173,1681946,ACNB CORP,ACNB
50290,156617,247122,ACORDA THERAPEUTICS INC,ACOR
11335,24912,1063724,ACORN ENERGY INC,ACFN
11335,24912,2312103,ACORN ENERGY INC,ACFN
